"Object Count","Object Name","Object ID","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","","56097b55-9696-4481-ad87-f244f4b50efd","curve","circle"
"2","","c344e509-9b51-4954-8d1e-f29126a5ba0b","point","3.735693566116129,0,37.84423784232736"
"3","","3907e36d-1eef-4b3c-ab61-d94421a22f76","point","12.2596522689564,0,35.5850779972219"
"4","","286dfcf4-5703-4160-a695-90c31ee1afd0","point","20.42698983293876,0,31.64328221026085"
"5","","361f6794-0313-46a2-922d-b45673dd40cc","point","27.61290376543331,0,26.97790215271205"
"6","","d67563ba-1475-455e-9586-58a7daf40802","point","-4.794755020679826,0,38.10953326361836"
"7","","5cf70562-f5f1-42eb-b7c7-bbef92415786","point","35.5769185053624,0,12.65766332256809"
"8","","4ec06596-d4b9-4960-b81d-ed2f3e21d2b6","point","37.93000531228328,-1.8895236664207e-06,3.705256387866381"
"9","","506e14f7-ae4f-4f93-b500-e5dd33f3e393","point","38.8502789191699,-1.8895236664207e-06,-4.718189733336924"
"10","","92cd6f70-0c61-45ce-94fb-11b455f30789","point","37.18693375427419,0,-12.13256471275351"
"11","","fa18a398-62a4-4e9a-9834-db50f6b8e079","point","26.7985241035879,0,-25.77535892089855"
"12","","971bbd49-d96d-48be-ab36-a208ab88f74a","point","19.64385029572491,0,-31.4048545731434"
"13","","e686c639-b2bd-40a4-acbd-314b6bdb2128","point","11.65161866903184,0,-35.50879920376637"
"14","","ae02e8d8-f8dc-4d01-a3b7-27eecb88db0e","point","3.489360144666978,0,-38.07811806043501"
"15","","1983e90c-8bd7-45e9-b03d-3f5cfdb5798f","point","-13.14380933542197,0,-35.0159106567578"
"16","","afb5eef6-fd70-40ce-b375-4c6160427677","point","-21.38108446874066,0,-31.99571618198016"
"17","","c4f35dfb-a9cd-4ceb-875d-c7b0079a4f4f","point","-33.26611779338601,0,-20.56152824306513"
"18","","0438e85f-4555-476f-a95b-b08038df4ad1","point","-36.72159805633556,0,-12.79226544783472"
"19","","c19df6d1-8914-46e4-b037-4bf81925de22","point","-38.67831822389969,0,4.218652565076599"
"20","","fe04c0f9-7e26-4e94-8e34-acdb0c3c097a","point","-32.67815849290208,-1.8895236664207e-06,20.06414261242055"
"21","","c9843eaa-cbe9-47af-8963-1b2b14d13572","point","-20.60540225160009,1.889523669973414e-06,32.52663956341958"
"22","","f8334856-fb12-4e97-8d4e-009570b9ca5e","point","32.48104230930009,0,20.9091073640261"
"23","","16874434-3360-4ec4-8370-b3b99e2246b7","point","32.81081709589397,0,-19.11634496142268"
"24","","86b69a5e-a537-4191-864f-609e2172544b","point","-4.557975030892191,0,-37.47275498729351"
"25","","3682f7d5-8570-4a42-967c-0417dc5fa2c1","point","-38.60378533300464,0,-4.313347950491384"
"26","","1703c8f0-e0e8-436c-add2-2a31e7e1d273","point","-36.6282404709852,0,12.37105533399321"
"27","","17c855b5-a587-44a6-85e6-0c57a7b757a2","point","-27.24523880553609,-1.8895236664207e-06,26.9792021449951"
"28","","4833f8ce-a99b-4a24-ba4b-a96a07fefc3d","point","-13.02150928621945,1.889523669973414e-06,36.30000069131907"
"29","","595d1ee5-ef6a-4019-8aa2-6a6bc4aba708","point","-28.11480263592405,0,-27.02186508734421"
"30","","0ddbeb47-de68-4ed7-8ff8-b186b1db0275","point","9.254110420376879,0,26.51928200693232"
"31","","6f5359eb-6ab7-4af2-ab4e-9791ce2f36e8","point","16.91390681115256,0,21.98145991311073"
"32","","9c842d32-f29a-4d8e-8e66-39528de7a3de","point","25.04806937826816,0,19.11110970387402"
