"Object Count","Layer Name","Layer Color R,G,B","Layer Index","Group Names","Group Indexes","Object Name","Object ID","Object Color R,G,B","Object Material","Object Category","Object Type"
"1","red","255,31,0","1","","","","8745ac5d-f02f-4a80-a7bd-13dff706381b","0,0,0","","point","-30,180,0"
"2","red","255,31,0","1","","","","58fe2c27-36aa-46bc-989b-0f0838e0ba6d","0,0,0","","point","-30,175.0000000000001,0"
"3","red","255,31,0","1","","","","4b7405a0-6962-4f88-ac09-853a46ef963b","0,0,0","","point","-30,170.0000000000001,0"
"4","red","255,31,0","1","","","","829dfe0d-b040-49c1-a8a5-8329f345a4fe","0,0,0","","point","-30,165.0000000000001,0"
"5","red","255,31,0","1","","","","41e559bf-1bec-4984-bdab-1293d8889755","0,0,0","","point","-30,160.0000000000001,0"
"6","red","255,31,0","1","","","","543c53f2-96d4-43af-af58-b318b3bb8a87","0,0,0","","point","-30,155.0000000000001,0"
"7","red","255,31,0","1","","","","a3897083-6cf2-4b19-a7dc-51a5fd0208be","0,0,0","","point","-30,150.0000000000001,0"
"8","red","255,31,0","1","","","","03dd637d-fbf2-4cf0-8d4c-7d6328a4aa42","0,0,0","","point","-30,145.0000000000001,0"
"9","red","255,31,0","1","","","","0c8f4c12-8f3d-4cf8-a6bd-36f7d5cf54d0","0,0,0","","point","-30,140,0"
"10","red","255,31,0","1","","","","6e0863e0-cf6c-407d-88e7-fbd575091ead","0,0,0","","point","-30,135,0"
"11","red","255,31,0","1","","","","09ca485b-1878-4f8d-bc4a-28fe0afd6fe6","0,0,0","","point","-30,130,0"
"12","red","255,31,0","1","","","","97ae76d9-62a6-4f5f-9bc0-5a44e0ab9cb6","0,0,0","","point","-30,125,0"
"13","red","255,31,0","1","","","","05bae267-2cb1-42e6-b9a9-11402499df16","0,0,0","","point","-30,120,0"
"14","red","255,31,0","1","","","","7980b45d-73a4-429a-926e-ca905c9d6acb","0,0,0","","point","-30,115,0"
"15","red","255,31,0","1","","","","d9f455f0-65ce-4eac-8841-67820dc053f4","0,0,0","","point","-30,110,0"
"16","red","255,31,0","1","","","","7ed2b57c-5db4-4c1a-a6b7-062ca4db12da","0,0,0","","point","-30,105,0"
"17","red","255,31,0","1","","","","c3e2a261-9a4b-44d6-9f2a-9808aa1ddf41","0,0,0","","point","-30,100,0"
"18","red","255,31,0","1","","","","e0b8eb73-69d1-43c8-8bca-500e667ad618","0,0,0","","point","-30,95.00000000000003,0"
"19","red","255,31,0","1","","","","b23ac759-f897-4e97-accb-fefa9d1d093d","0,0,0","","point","-30,90.00000000000001,0"
"20","red","255,31,0","1","","","","fc844bce-f838-427e-bc7a-9672b554d66a","0,0,0","","point","-30,85.00000000000003,0"
"21","red","255,31,0","1","","","","db907fcb-810c-408c-8295-68a2ee4b5364","0,0,0","","point","-30,80.00000000000003,0"
"22","red","255,31,0","1","","","","21f8d271-f4f8-4862-b9dd-4bbc31a260a4","0,0,0","","point","-30,75.00000000000003,0"
"23","red","255,31,0","1","","","","78b857fe-9a5a-4182-87ef-3443f7690d0e","0,0,0","","point","-30,70.00000000000001,0"
"24","red","255,31,0","1","","","","5cb53b13-ab38-4a36-bcf2-8d908c821796","0,0,0","","point","-30,65.00000000000001,0"
"25","red","255,31,0","1","","","","a347116f-8348-4e53-9f9a-e87b1d7c827d","0,0,0","","point","-30,60.00000000000001,0"
"26","red","255,31,0","1","","","","013a0868-f452-436a-b8a8-4be979bdf4db","0,0,0","","point","-30,55.00000000000001,0"
"27","red","255,31,0","1","","","","85a01a57-5061-420b-87f9-fb8c8b1be286","0,0,0","","point","-30,50.00000000000001,0"
"28","red","255,31,0","1","","","","96402715-8e74-4e58-a876-c81ee3f313e9","0,0,0","","point","-30,45.00000000000001,0"
"29","red","255,31,0","1","","","","f2f78dea-6f2f-423e-8fdf-852bd280f0ef","0,0,0","","point","-30,40.00000000000001,0"
"30","red","255,31,0","1","","","","35b051f0-5ca6-4e33-a98a-56a9dfe49304","0,0,0","","point","-30,35.00000000000001,0"
"31","red","255,31,0","1","","","","42d17ec7-1faa-42fc-937c-cb5656bc63ed","0,0,0","","point","-30,30,0"
"32","red","255,31,0","1","","","","3f6210b1-beff-46a2-9ba9-7e65d7657062","0,0,0","","point","-30,25,0"
"33","red","255,31,0","1","","","","a512f1a1-2915-49ff-a200-16b62a4e6735","0,0,0","","point","-30,20,0"
"34","red","255,31,0","1","","","","21ea3384-09d7-4e57-8798-74c1b006ea51","0,0,0","","point","-30,15,0"
"35","red","255,31,0","1","","","","00cb2566-ddc7-4181-8e91-ae12c390af4a","0,0,0","","point","-30,10,0"
"36","red","255,31,0","1","","","","49723686-c6d2-49ed-8156-da4da2c0ddc5","0,0,0","","point","-30,5,0"
"37","red","255,31,0","1","","","","9ebede95-6b0a-437b-ba09-2e1fbfd97731","0,0,0","","point","-30,0,0"
"38","red","255,31,0","1","","","","5461d211-de1f-44e0-860e-3ad5ef13aef8","0,0,0","","point","0,180,0"
"39","red","255,31,0","1","","","","d26c8108-a316-4f5a-b0ca-9cc5456d087f","0,0,0","","point","0,175.0000000000001,0"
