Object Count,Layer Name,"Layer Color R,G,B",Layer Index,Group Names,Group Indexes,Object Name,Object ID,"Object Color R,G,B",Object Material,Object Category,Object Type
1,greenn,"14,255,0",1,,,,a8f2fd01-0d42-4253-9df4-2c549cda2949,"0,0,0",,point,"169.9999164518928,-0.1685418330070174,0"
2,greenn,"14,255,0",1,,,,cc01f3e6-a27e-4a4a-92de-9bde76431e0c,"0,0,0",,point,"164.9999189091901,-0.1635847202715169,0"
3,greenn,"14,255,0",1,,,,0d6ff527-aea7-4c94-83d1-2a6205672ac4,"0,0,0",,point,"159.9999213664873,-0.1586276075360163,0"
4,greenn,"14,255,0",1,,,,33efcc6e-ae38-4948-8729-b9fb6c399e67,"0,0,0",,point,"154.9999238237846,-0.1536704948005158,0"
5,greenn,"14,255,0",1,,,,3066990d-daf7-4899-ac8f-294b7c183fe5,"0,0,0",,point,"149.9999262810818,-0.1487133820650153,0"
6,greenn,"14,255,0",1,,,,96eef33b-8700-4179-b8f9-5a4577e7c83c,"0,0,0",,point,"144.9999287383791,-0.1437562693295148,0"
7,greenn,"14,255,0",1,,,,67f72060-5920-42ad-bce6-cf455b2abf06,"0,0,0",,point,"139.9999311956764,-0.1387991565940143,0"
8,greenn,"14,255,0",1,,,,5c65ab71-9240-42f6-b250-c7133dd770ef,"0,0,0",,point,"134.9999336529737,-0.1338420438585138,0"
9,greenn,"14,255,0",1,,,,86a14bc5-7dc9-4703-98c5-3ed3bd54a252,"0,0,0",,point,"129.9999361102709,-0.1288849311230133,0"
10,greenn,"14,255,0",1,,,,cf911d17-c8a0-458f-a792-30f64a7b82f0,"0,0,0",,point,"0,0,0"
